query_id,query,classification,processable_entities,unprocessable_entities,justification
65,Which airline was my second highest in terms of spending in the last 3 months?,processable,"airlines (via Flights category_id: 39e295f6-ed2f-0876-8aa3-80e8e546bb34 or display_narrative airline names), last 3 months filter (via transaction_booking_timestamp), spending aggregation by airline, ranking","","Can filter by Flights category_id, filter by last 3 months, group by display_narrative (airline name), SUM spending per airline, order by sum DESC, select row 2 (LIMIT 1 OFFSET 1 or ROW_NUMBER = 2). Returns second-highest spending airline."
66,How much did I spend on fuel in 2022?,processable,"fuel/vehicle fuel category (via category_id for Transport > Vehicle Fuel: 2f102611-4dc4-214d-76dc-6f5f175ef4fa), year 2022 filter (via transaction_booking_timestamp), spending filter (transaction_type), amount aggregation","","Can filter by Vehicle Fuel category_id (2f102611-4dc4-214d-76dc-6f5f175ef4fa from mapping table), filter by 2022, filter by transaction_type = 'spending', SUM amounts. Straightforward category + date aggregation."
67,How many times was I overdrawn in March?,processable,"March date filter (via transaction_booking_timestamp), overdraft detection (via balance field < 0), occurrence counting","","Can filter by March, check WHERE balance < 0 to identify overdrawn transactions. To count 'how many times' went overdrawn (not just how many transactions while overdrawn), need to identify transitions from positive to negative balance: compare current balance < 0 AND previous balance >= 0. Can use LAG window function or self-join to detect balance sign changes. Returns count of times account went into overdraft during March."
68,What is my total spending at McDonald's last month?,processable,"McDonald's merchant (via display_narrative ILIKE), last month filter (via transaction_booking_timestamp), spending filter (transaction_type), amount aggregation","","Can filter by display_narrative ILIKE '%McDonald%' (handles McDonald's/McDonalds variations), filter by last month, filter by transaction_type = 'spending', SUM amounts. Straightforward merchant aggregation."
69,Did I receive any refunds from McDonalds last month?,processable,"McDonalds merchant (via display_narrative ILIKE), refund identification (positive amounts or transaction_type = 'income'), last month filter (via transaction_booking_timestamp)","","Can filter by display_narrative ILIKE '%McDonald%' AND transaction_type = 'income' (or amount > 0), filter by last month. Returns boolean (any refunds exist?) or list of refund transactions. Refunds appear as positive amounts with merchant name."
70,What is my total water bill for this year?,processable,"water/utilities bills (via Bills > Utilities category_id: 2d30087a-c45f-c26d-d289-95ea196db353 or display_narrative patterns for water providers), current year filter (via transaction_booking_timestamp), spending filter (transaction_type), amount aggregation","","Can filter by Utilities category_id or display_narrative patterns for water companies (e.g., 'WATER', 'UTD UTILITIES WATR' visible in data), filter by current year, SUM amounts. Note: Utilities category is not granular enough - includes water, gas, electric together. Must rely on display_narrative pattern matching for water-specific providers, which risks false negatives if provider names don't contain 'water' keyword or use abbreviations."
71,Did I pay my bills this year?,processable,"bills transactions (via Bills category_id: 7186ed64-50c3-96c1-85d8-e6af2b21407c and subcategories), current year filter (via transaction_booking_timestamp), transaction existence check","","Can filter by Bills category_id (7186ed64-50c3-96c1-85d8-e6af2b21407c) and all Bills subcategories (Utilities, Energy Providers, Mortgage, Insurance, etc.), filter by current year, check if COUNT > 0. Returns boolean yes/no answer or count of bill payments. Query is vague but interpretable as checking for any bill payments this year."
72,What is the highest amount I spent on subscriptions in any month this year?,processable,"subscriptions (via recurring_payment_type = 'SUBSCRIPTION' or D/D transactions with recurring patterns), monthly aggregation (via transaction_booking_timestamp), current year filter, maximum monthly total","","Can filter by proprietary_bank_transaction_code = 'D/D' for direct debits (main subscription method) or recurring_payment_type = 'SUBSCRIPTION', filter by current year, group by month, SUM spending per month, find MAX monthly total. Returns highest monthly subscription spending and which month it occurred."
73,Can you list all the merchants I purchased from for groceries in 2023,processable,"groceries category (via category_id for Groceries: e63f7849-c0c0-012e-440e-3d0bc2c8ea94), year 2023 filter (via transaction_booking_timestamp), distinct merchants (via display_narrative)","","Can filter by Groceries category_id (e63f7849-c0c0-012e-440e-3d0bc2c8ea94), filter by 2023, SELECT DISTINCT display_narrative to get unique list of grocery merchants. Returns comprehensive list of all grocery stores/merchants shopped at in 2023."
74,List the stores where I purchased groceries in 2023,processable,"groceries category (via category_id for Groceries: e63f7849-c0c0-012e-440e-3d0bc2c8ea94), year 2023 filter (via transaction_booking_timestamp), distinct merchants (via display_narrative)","","Identical to query 73 - can filter by Groceries category_id, filter by 2023, SELECT DISTINCT display_narrative. Returns list of grocery store names."
75,my total earning on rent?,processable,"rent income (via display_narrative patterns or Income category), income filter (transaction_type = 'income'), amount aggregation","","Can filter by transaction_type = 'income' AND display_narrative patterns indicating rent (e.g., 'RENT' keyword or tenant names if identifiable), SUM amounts across all time. Query lacks time range so aggregate all historical rent income. Returns total rent income received."
76,how much I spend in rent?,processable,"rent payments (via Bills > Rent category_id: e3329bc0-2381-cd82-1810-8eaa26e06d61), spending filter (transaction_type = 'spending'), amount aggregation","","Can filter by Rent category_id (e3329bc0-2381-cd82-1810-8eaa26e06d61 from mapping table), filter by transaction_type = 'spending', SUM amounts. Query lacks time range so aggregate all historical rent spending. Returns total rent payments made."
77,my total medical bills at drugstores,indeterminate,"drugstore/pharmacy merchants (via display_narrative patterns), medical/health category (via Health & beauty category_id), amount aggregation","reliable identification of medical bills vs general drugstore purchases","Can filter by Health & beauty category (c343c4c1-d11b-16e8-7ec9-3f450b7a5bc5) or display_narrative patterns for pharmacies/drugstores (e.g., Boots visible in data). However, cannot reliably distinguish medical bills (prescriptions, medical supplies) from general drugstore purchases (cosmetics, toiletries) without more granular categorization. Health & beauty category includes both medical and non-medical items. Query may return inflated totals including non-medical purchases."
78,my total medical bills at hospital,indeterminate,"hospital merchants (via display_narrative patterns), medical bills identification","reliable identification of hospital transactions and medical vs non-medical charges","Can search display_narrative ILIKE '%hospital%' to find hospital-related transactions (e.g., 'Apollo hospital' mentioned in query 125). However, reliability is questionable: (1) not all hospitals have 'hospital' in merchant name, (2) cannot distinguish medical bills from other hospital services (parking, cafeteria), (3) no dedicated healthcare provider category. Query may miss hospitals or include non-medical charges."
79,What refunds did I receive last month?,processable,"refunds (via transaction_type = 'income' and potentially Income > Refund category_id: aad6e1e2-51fd-4e84-984d-770b3e946944), last month filter (via transaction_booking_timestamp), merchant identification (via display_narrative)","","Can filter by transaction_type = 'income' OR category_id = aad6e1e2-51fd-4e84-984d-770b3e946944 (Income > Refund), filter by last month, return list with display_narrative (merchant), amount, and date. Shows all refund transactions received. Refunds appear as positive amounts with originating merchant name."
80,What items did I purchase in my $300 transaction at Costco last year?,unprocessable,"Costco merchant (via display_narrative ILIKE), $300 amount filter, last year date filter (via transaction_booking_timestamp), transaction identification","item-level detail - only transaction-level data available","Can identify the $300 Costco transaction (filter by merchant, amount, date) but cannot show what items were purchased. Transaction data contains aggregate amount only, not itemized line items or shopping basket details. Would need point-of-sale receipt data or itemized transaction details to show individual purchased items."
81,When did I last pay my Costco membership fee,processable,"Costco merchant (via display_narrative ILIKE), membership fee identification (via amount pattern or description), date retrieval (transaction_booking_timestamp), most recent","","Can filter by display_narrative ILIKE '%Costco%', potentially filter by typical membership fee amounts or look for patterns in transaction descriptions, order by transaction_booking_timestamp DESC, return most recent date. Membership fees typically have recognizable amounts (e.g., annual fees of specific values). May need to examine transaction patterns to identify membership vs shopping transactions."
82,When did I make my first mortgage payment?,processable,"mortgage payments (via Bills > Mortgage category_id: f6e2f550-f61d-6ffe-d2a9-6db891b382d1), date retrieval (transaction_booking_timestamp), earliest transaction","","Can filter by Mortgage category_id (f6e2f550-f61d-6ffe-d2a9-6db891b382d1), order by transaction_booking_timestamp ASC, LIMIT 1 to get earliest. Returns date of first mortgage payment transaction."
83,What is the total amount I have paid towards my mortgage payments?,processable,"mortgage payments (via Bills > Mortgage category_id: f6e2f550-f61d-6ffe-d2a9-6db891b382d1), amount aggregation","","Can filter by Mortgage category_id, SUM amounts across all time. Returns total of all mortgage payments made historically."
84,When is my next car insurance payment due to Geico?,unprocessable,"Geico merchant (via display_narrative ILIKE), car insurance (via Bills > Insurance category), future payment due date","future payment scheduling - only historical transaction data available","Can identify past Geico insurance payments but cannot determine future due dates. Transaction data shows completed transactions only, not scheduled future payments or payment due dates. Would need separate payment schedule/recurring payment setup data or calendar/reminder system to show future due dates."
85,What is the total amount received from the DWP in the last 6 months including both fortnightly Wednesday payments and monthly Monday payments?,processable,"DWP income (via display_narrative patterns for DWP or government benefits), last 6 months filter (via transaction_booking_timestamp), income filter (transaction_type = 'income'), amount aggregation, payment frequency identification","","Can filter by display_narrative ILIKE '%DWP%' (Department for Work and Pensions) AND transaction_type = 'income', filter by last 6 months, SUM amounts. Can also group by day-of-week to verify Wednesday fortnightly and Monday monthly patterns. Returns total DWP income received regardless of payment frequency structure."
86,How does my total savings in both my savings and checking accounts this year compare to last year?,processable,"account balances by account type (via balance field), current year vs last year comparison (via transaction_booking_timestamp), savings and checking account filtering","","Can get most recent balance per account for current year vs last year: filter by account type (savings vs checking - may need account identifier field or filter by Transfers > Savings category transactions to identify savings accounts), get latest balance per account per year, SUM balances across accounts by type and year, compare year-over-year. Returns total savings account balances and checking account balances for current year vs last year comparison."
87,my cloth purchases,processable,"clothing purchases (via Shopping > Clothes & Accessories category_id: 334ac986-054f-b5ee-a195-34651fd6b8c2), spending filter (transaction_type), amount aggregation","","Can filter by Clothes & Accessories category_id (334ac986-054f-b5ee-a195-34651fd6b8c2), filter by transaction_type = 'spending', return list of transactions or SUM amounts. Query lacks time range so return all historical clothing purchases or recent period."
88,my earning in last 6 months,processable,"income transactions (transaction_type = 'income'), last 6 months filter (via transaction_booking_timestamp), amount aggregation","","Can filter by transaction_type = 'income', filter by last 6 months, SUM amounts. Returns total income received in past 6 months across all income sources."
89,When did I receive my Chb?,processable,"Chb income (via display_narrative patterns for Child Benefit or CHB abbreviation), income filter (transaction_type = 'income'), date retrieval (transaction_booking_timestamp)","","Can filter by transaction_type = 'income' AND display_narrative patterns for Child Benefit (CHB/Chb), return transaction dates. CHB likely refers to Child Benefit payments. Returns list of dates when child benefit was received."
90,What was my total spending at Amazon last month?,processable,"Amazon merchant (via display_narrative ILIKE), last month filter (via transaction_booking_timestamp), spending filter (transaction_type), amount aggregation","","Can filter by display_narrative ILIKE '%Amazon%' OR '%AMZN%', filter by last month, filter by transaction_type = 'spending', SUM amounts. Standard merchant aggregation query."
91,How much do I get in child benefits?,processable,"child benefit income (via display_narrative patterns for Child Benefit/CHB), income filter (transaction_type = 'income'), amount identification","","Can filter by transaction_type = 'income' AND display_narrative patterns for Child Benefit, examine typical amount (MODE, AVG, or most recent amount). Returns typical child benefit payment amount (likely recurring monthly/fortnightly payments of consistent value)."
92,show the bills,processable,"bills transactions (via Bills category_id: 7186ed64-50c3-96c1-85d8-e6af2b21407c and subcategories), list of transactions","","Can filter by Bills category_id and subcategories, return list of transactions with merchant names, amounts, dates, and bill types (Utilities, Insurance, Mortgage, etc.). Query lacks time range so return recent bills or specify period. Returns itemized bill payment list."
93,Did I send that money to X?,indeterminate,"transfer to recipient X (via display_narrative patterns), amount (unspecified), transfer identification","vague reference to person/entity 'X' and 'that money' without specifics","Query references 'X' (unclear who) and 'that money' (unclear amount/timing). Cannot identify specific transaction without knowing: (1) who 'X' is (name pattern to search), (2) what amount 'that money' refers to, (3) when the transfer allegedly occurred. Too vague to process reliably without additional context. Would need clarification on recipient identity and amount/timing."
94,When did John send me the 200 dollars they owed me?,indeterminate,"John sender identification, $200 amount, income transactions (transaction_type = 'income'), date retrieval (transaction_booking_timestamp)","reliable person-to-person payment identification and name matching in transaction narratives","Can filter by transaction_type = 'income' AND ABS(amount) = 200, but cannot reliably identify 'John' as sender. Issues: (1) Person-to-person transfers may not include sender name in display_narrative (could show 'FASTER PAYMENT', 'BANK TRANSFER', etc.), (2) If name appears, format is unpredictable ('John', 'J Smith', 'John L. Smith', 'Johnathan Smith'), (3) Cannot disambiguate between multiple people named John. ILIKE '%John%' is unreliable for person name matching."
95,"did John pay me, if yes , how much",indeterminate,"John sender identification, income transactions (transaction_type = 'income'), amount retrieval","reliable person-to-person payment identification and name matching","Can filter by transaction_type = 'income', but cannot reliably identify payments from 'John'. Same issues as query 94: person names may not appear in narratives, name format variations ('John', 'J Smith', 'Johnathan', etc.), no disambiguation between multiple Johns. Would need dedicated payee_name field with normalized names or payee_id to reliably identify person-to-person payments."
96,What was my total electricity spending in the last 3 months?,processable,"electricity bills (via Bills > Energy Providers category_id: 03606ff1-51bf-fef2-c305-e8462cd2db22 or display_narrative patterns for electricity providers), last 3 months filter (via transaction_booking_timestamp), spending filter (transaction_type), amount aggregation","","Can filter by Energy Providers category_id or display_narrative patterns for electricity companies (British Gas, SSE, EON visible in data), filter by last 3 months, SUM amounts. Note: Energy Providers category is not granular enough - includes both electricity and gas providers together. Must rely on display_narrative pattern matching to identify electricity-specific providers, which risks false negatives if provider names are ambiguous or dual-fuel suppliers."
97,how much refund did Adibas pay me,processable,"Adidas/Adibas merchant (via display_narrative ILIKE), refund identification (positive amounts or transaction_type = 'income'), amount retrieval","","Can filter by display_narrative ILIKE '%Adidas%' OR '%Adibas%' (checking spelling variations) AND transaction_type = 'income', SUM amounts. Returns total refunds from Adidas. Query likely has typo ('Adibas' = Adidas)."
98,how much money john helped me with,indeterminate,"John sender identification, income transactions (transaction_type = 'income'), amount aggregation","reliable person-to-person payment identification and name matching","Can filter by transaction_type = 'income', but cannot reliably identify payments from 'john'. Person-to-person transfers may not include sender name in narratives, name format variations exist, and cannot disambiguate between multiple people named John. Would need dedicated payee fields with normalized names."
99,What is the smallest transaction I have made to John since August?,indeterminate,"John recipient identification, August onwards filter (via transaction_booking_timestamp), outgoing transactions (transaction_type = 'spending'), minimum amount","reliable person-to-person payment identification and name matching","Can filter by transaction_type = 'spending' AND date >= August, but cannot reliably identify payments to 'John'. Person-to-person transfers may show generic descriptions ('FASTER PAYMENT', 'TRANSFER') without recipient name. If name appears, format is unpredictable. Cannot disambiguate between multiple Johns. Would need payee_name field or transfer reference data."
100,What is my average monthly spending on groceries in 2024?,processable,"groceries category (via category_id: e63f7849-c0c0-012e-440e-3d0bc2c8ea94), year 2024 filter (via transaction_booking_timestamp), spending filter (transaction_type), monthly aggregation and averaging","","Can filter by Groceries category_id, filter by 2024, group by month, calculate monthly totals, then AVG across months. Returns average grocery spending per month in 2024."
101,What is my total balance in my savings account?,processable,"savings account balance (via balance field), savings account identification (via account type or Transfers > Savings transactions), most recent balance","","Can identify savings account transactions (via Transfers > Savings category or savings account identifier), get most recent transaction, return balance field. Alternatively, if multiple savings accounts exist, get latest balance per savings account and SUM. Returns current savings account balance(s)."
102,my total deposits last year,processable,"deposits (income transactions via transaction_type = 'income'), last year filter (via transaction_booking_timestamp), amount aggregation","","Can filter by transaction_type = 'income' to identify deposits, filter by last year, SUM amounts. Returns total deposits/income received last year. Note: 'deposits' interpreted as income transactions (money coming in)."
103,what cheque deposits I made?,processable,"cheque deposits (via proprietary_bank_transaction_code or display_narrative patterns for cheque/check), deposit identification, transaction list","","Can search for cheque-related transaction codes or display_narrative patterns indicating cheque deposits. Note: Relies on proprietary_bank_transaction_code or display_narrative patterns for cheque/check identification. May be unreliable if cheque transaction codes are not standardized or if display_narrative doesn't consistently contain 'cheque'/'check' keywords, leading to false negatives."
104,did I pay my tennis classes fee last month,indeterminate,"tennis classes fee (via display_narrative patterns for tennis), last month filter (via transaction_booking_timestamp), payment verification","reliable identification of tennis classes from merchant names","Can filter by last month AND display_narrative ILIKE '%tennis%' to search for tennis-related payments. However, tennis classes may appear under generic merchant names (sports center, instructor name) without 'tennis' keyword. No dedicated tennis/classes category. Query may return no results even if fee was paid. Similar reliability issues as query 19."
105,show my spend at swimming session in last 6 months,indeterminate,"swimming expenses (via display_narrative patterns or Sports category), last 6 months filter (via transaction_booking_timestamp), spending aggregation","reliable identification of swimming sessions from merchant names","Can filter by Sports category or display_narrative ILIKE '%swim%', filter by last 6 months, SUM amounts. However, swimming sessions may appear under generic facility names, gym memberships, or council leisure services without 'swim' keyword. May miss sessions or include non-swimming sports expenses."
106,What days am I most likely to order a takeaway?,processable,"takeaway orders (via Eating out > Takeouts category_id: e18854ed-6be6-95d2-4a64-5ab89e6c9dc2), day-of-week analysis (via transaction_booking_timestamp), frequency count by weekday","","Can filter by Takeouts category_id (e18854ed-6be6-95d2-4a64-5ab89e6c9dc2), extract day-of-week from transaction_booking_timestamp, group by weekday, COUNT transactions per day, order DESC. Returns days ranked by takeaway frequency (e.g., Friday, Saturday most common)."
107,store I order most of my takeways?,processable,"takeaway orders (via Takeouts category_id: e18854ed-6be6-95d2-4a64-5ab89e6c9dc2), merchant frequency count (via display_narrative), top merchant selection","","Can filter by Takeouts category_id, group by display_narrative, COUNT transactions per merchant, order DESC, LIMIT 1. Returns most frequently used takeaway merchant."
108,Which stores did I order takeaway from on Mondays?,processable,"takeaway orders (via Takeouts category_id: e18854ed-6be6-95d2-4a64-5ab89e6c9dc2), Monday filter (day-of-week from transaction_booking_timestamp), distinct merchants (via display_narrative)","","Can filter by Takeouts category_id AND day-of-week = Monday, SELECT DISTINCT display_narrative. Returns list of takeaway stores ordered from on Mondays."
109,show my top 3 recurring spending places in a month,processable,"recurring payments (via D/D and S/O transaction codes), monthly frequency analysis, merchant ranking","","Can filter by proprietary_bank_transaction_code IN ('D/D', 'S/O') for recurring payments, select recent month or average across months, group by display_narrative, COUNT/SUM per merchant, order DESC, LIMIT 3. Returns top 3 merchants for recurring spending."
110,total payements to supermarkets this vs last year,processable,"supermarkets (via Groceries > Supermarkets category_id: b44d0c18-9710-7241-b4e7-3bd5006c353c), this year vs last year filter (via transaction_booking_timestamp), amount aggregation and comparison","","Can filter by Supermarkets category_id (b44d0c18-9710-7241-b4e7-3bd5006c353c), group by year (current vs previous), SUM amounts per year, compare totals. Returns year-over-year supermarket spending comparison."
111,total money transferred to my savings account this month?,processable,"savings transfers (via Transfers > Savings category_id: c8053fdb-8ba9-71d2-d815-42721c808b75), current month filter (via transaction_booking_timestamp), amount aggregation","","Can filter by Transfers > Savings category_id, filter by current month, SUM amounts. Returns total transferred to savings this month."
112,How many times have I made purchases at Starbucks in the last 3 months?,processable,"Starbucks merchant (via display_narrative ILIKE), last 3 months filter (via transaction_booking_timestamp), transaction count","","Can filter by display_narrative ILIKE '%Starbucks%', filter by last 3 months, COUNT transactions. Straightforward merchant frequency query."
113,In which categories did I exceed my budget last month?,processable,"budget comparison by category (via budgets table joined on customer_id and category_id), last month spending aggregation (via transaction_booking_timestamp), budget threshold comparison","","Can join to budgets table, filter by last month, group by category_id, SUM spending per category, compare to budget.amount, filter WHERE spending > budget. Returns list of categories where budget was exceeded last month with overspend amounts."
114,Whats the damage this month on my spending?,processable,"total spending this month (transaction_type = 'spending'), current month filter (via transaction_booking_timestamp), amount aggregation","","Can filter by transaction_type = 'spending', filter by current month, SUM amounts. 'Damage' colloquially means total spending. Returns total spending for current month."
115,my top 3 subscription services by spending,processable,"subscription services (via D/D transactions or recurring_payment_type = 'SUBSCRIPTION'), spending aggregation by merchant (via display_narrative), top 3 selection","","Can filter by proprietary_bank_transaction_code = 'D/D' for subscriptions, group by display_narrative (service name), SUM spending per service, order DESC, LIMIT 3. Returns top 3 subscription services ranked by total spending."
116,At which merchant did I spend the most and during which time period in the last 6 months?,processable,"merchant spending ranking (via display_narrative), last 6 months filter (via transaction_booking_timestamp), spending aggregation, time period identification for top merchant","","Can filter by last 6 months, group by display_narrative, SUM spending per merchant, find MAX to identify top merchant. For time period, can show monthly breakdown for that merchant or identify specific date range of transactions. Returns top merchant name and temporal spending pattern."
117,Why was my messages bill higher last month compared to August?,unprocessable,"messages/communications bill (via Bills > Communications category or display_narrative patterns), last month vs August comparison, amount comparison","causality explanation - requires external context","Can compare messages bill amounts between last month and August (filter by Communications category or mobile/telecom providers in display_narrative, compare monthly totals). However, cannot explain WHY the bill was higher (usage increase, rate change, one-time charges, billing error, etc.). Data shows WHAT changed but not WHY. Requires external context about usage, plan changes, or billing details."
118,Did I spend more on dining out last month compared to this month?,processable,"dining out spending (via Eating out category_id: ad2b8c89-ca33-1d71-04a8-84d087ae76b1), last month vs current month comparison (via transaction_booking_timestamp), amount aggregation and comparison","","Can filter by Eating out category_id, group by month (last month vs current month), SUM amounts per month, compare totals. Returns boolean answer and amounts for both months."
119,How many transactions did I make last weekend?,processable,"last weekend date range (via transaction_booking_timestamp - previous Saturday/Sunday), transaction count","","Can identify last weekend dates (previous Saturday-Sunday), filter by those dates, COUNT transactions. Returns total transaction count for last weekend."
120,Did I make any payments to Avis car hire in February this year?,processable,"Avis merchant (via display_narrative ILIKE), February current year filter (via transaction_booking_timestamp), payment verification","","Can filter by display_narrative ILIKE '%Avis%', filter by February of current year, check if COUNT > 0. Returns boolean answer or list of Avis payments in February."
121,"Have there been any changes in the amounts paid to Netflix, Spotify, and Amazon through standing orders over the last 3 months?",processable,"Netflix/Spotify/Amazon merchants (via display_narrative ILIKE), standing orders (via proprietary_bank_transaction_code = 'S/O'), last 3 months filter (via transaction_booking_timestamp), amount change detection","","Can filter by (display_narrative ILIKE '%Netflix%' OR '%Spotify%' OR '%Amazon%') AND proprietary_bank_transaction_code = 'S/O', filter by last 3 months, group by merchant, track amounts over time, detect changes. Can use LAG window function or compare distinct amounts per merchant to identify changes. Returns list of amount changes per service."
122,How much have I spent on my dog's vet bills?,indeterminate,"vet/veterinary expenses (via display_narrative patterns for vet), spending aggregation","reliable identification of vet transactions and dog-specific expenses","Can search display_narrative ILIKE '%vet%' OR '%veterinary%' to find vet-related transactions, SUM amounts. However: (1) not all vets have 'vet' in name, (2) cannot distinguish dog vet bills from other pets without additional context, (3) no dedicated pet care or veterinary category. Query may miss vet transactions or include non-dog pet expenses."
123,How much have I spent on dog food in the last 6 months?,indeterminate,"dog food purchases (via display_narrative patterns or Groceries category), last 6 months filter (via transaction_booking_timestamp), spending aggregation","reliable identification of dog food vs general groceries","Can filter by last 6 months and search display_narrative for pet store names or dog food keywords. However, cannot reliably distinguish dog food from general grocery purchases without itemized receipt data. Groceries category includes all food purchases. Pet-specific stores may be identifiable but dog food bought at supermarkets cannot be isolated from other groceries."
124,How much have I spent at Apollo hospital this month?,processable,"Apollo hospital merchant (via display_narrative ILIKE), current month filter (via transaction_booking_timestamp), spending filter (transaction_type), amount aggregation","","Can filter by display_narrative ILIKE '%Apollo%' (hospital name), filter by current month, filter by transaction_type = 'spending', SUM amounts. Returns total Apollo hospital spending this month."
125,What was the amount of the last overdraft fee charged on my account?,processable,"overdraft fee transactions (via display_narrative patterns for overdraft/fee or specific transaction codes), most recent, amount retrieval","","Can search display_narrative for overdraft fee patterns (e.g., 'OVERDRAFT', 'OVERDRAWN FEE', 'BANK CHARGES'), order by transaction_booking_timestamp DESC, LIMIT 1, return amount. Overdraft fees typically have identifiable patterns in merchant descriptions or specific transaction codes."
126,What is the total amount of my Amazon bill for next month?,unprocessable,"Amazon spending forecast for next month","future spending prediction - only historical transaction data available","Cannot predict future Amazon spending or billing. Transaction data shows historical purchases only, not future scheduled payments or predicted spending. Would need predictive model, recurring payment schedules, or shopping cart/order pipeline data to estimate next month's Amazon bill."
127,Did I spend more than 1000 dollars on medical bills in the last 6 months?,indeterminate,"medical bills (via Health & beauty category or hospital/medical merchants via display_narrative), last 6 months filter (via transaction_booking_timestamp), spending aggregation and threshold comparison","reliable identification of all medical expenses","Can filter by Health & beauty category or search display_narrative for medical patterns (hospital, clinic, pharmacy, doctor), filter by last 6 months, SUM amounts, compare to 1000. However, medical bills may be scattered across categories (pharmacies in Health & beauty, hospital payments under generic merchants, insurance reimbursements). Cannot reliably capture all medical expenses without dedicated medical/healthcare category."
128,What is my total spending on travel in August and September 2025?,processable,"travel/transport spending (via Transport category_id: 0dd00427-7f5b-bbff-d7c5-f65743115d73 and subcategories), August and September 2025 filter (via transaction_booking_timestamp), spending filter (transaction_type), amount aggregation","","Can filter by Transport category_id and subcategories (Train, Coach, Flights, Vehicle Fuel, etc.), filter by August-September 2025, filter by transaction_type = 'spending', SUM amounts. Returns total travel spending for specified months."
129,Are there any rent refunds greater than 250 dollars this year?,processable,"rent refunds (via Rent category_id or display_narrative patterns for rent), refund identification (positive amounts or income), current year filter (via transaction_booking_timestamp), amount threshold (>$250)","","Can filter by (Rent category_id OR display_narrative patterns for rent) AND transaction_type = 'income' (refunds are positive), filter by current year, filter WHERE ABS(amount) > 250. Returns boolean answer or list of rent refunds exceeding $250."
130,What is my average order value for takeaway spending this month?,processable,"takeaway orders (via Takeouts category_id: e18854ed-6be6-95d2-4a64-5ab89e6c9dc2), current month filter (via transaction_booking_timestamp), average transaction amount calculation","","Can filter by Takeouts category_id, filter by current month, calculate AVG(ABS(amount)). Returns average amount per takeaway order this month."
131,What is the total amount I have spent on my subscriptions in the last 3 months?,processable,"subscriptions (via D/D transactions or recurring_payment_type = 'SUBSCRIPTION'), last 3 months filter (via transaction_booking_timestamp), spending filter (transaction_type), amount aggregation","","Can filter by proprietary_bank_transaction_code = 'D/D' (main subscription payment method) OR recurring_payment_type = 'SUBSCRIPTION', filter by last 3 months, SUM amounts. Returns total subscription spending."
132,Can you break down my total spend of 1200 dollars in Spain last month by category or merchant?,indeterminate,"Spain spending (via display_narrative location patterns or Vacation category), last month filter (via transaction_booking_timestamp), $1200 total validation, breakdown by category and merchant","reliable identification of Spain-specific transactions from transaction data","Can filter by last month and potentially Vacation category, but cannot reliably identify Spain-specific transactions without location data in merchant names or dedicated country/location field. Display_narrative may contain 'Spain' or Spanish city names for some merchants but not all. Cannot verify if transactions sum to $1200 in Spain specifically. Geographic filtering is unreliable without explicit location tagging."
133,how can i get my budget back on track,unprocessable,"budget advice","advice/guidance request - not a data query","Query asks for advice/guidance on budgeting, not transaction data retrieval. This is a conversational request for financial planning help, not a query that can be answered from transaction data. Cannot process non-data questions even if we can show budget vs actual spending data."
134,What one time payments do I have coming up?,unprocessable,"future scheduled one-time payments","future payment scheduling - only historical transaction data available","Cannot identify future scheduled payments from transaction data. Transaction data shows completed historical transactions only, not upcoming scheduled payments or future obligations. Would need separate payment scheduling system, calendar data, or recurring payment setup information to show future due payments."
135,Are there any other unusual transactions in my account from last month?,unprocessable,"unusual/anomalous transactions identification, last month filter","anomaly detection - requires pattern analysis or user-defined thresholds","While can retrieve all last month transactions, cannot objectively define 'unusual' without: (1) statistical anomaly detection (outliers based on amount/frequency), (2) user-defined rules for what constitutes unusual, (3) fraud detection patterns. 'Unusual' is subjective. Could show largest transactions or flag merchants/amounts that differ from typical patterns, but cannot definitively classify transactions as unusual without additional criteria."
136,Were there any refunds in my transactions from last month?,processable,"refunds (via transaction_type = 'income' or Income > Refund category_id), last month filter (via transaction_booking_timestamp), existence check","","Can filter by transaction_type = 'income' OR category_id for Refund category, filter by last month, check if COUNT > 0. Returns boolean answer or list of refund transactions."
137,How much did I spend on food in the last 3 months?,processable,"food spending (via Groceries category_id: e63f7849-c0c0-012e-440e-3d0bc2c8ea94 and Eating out category_id: ad2b8c89-ca33-1d71-04a8-84d087ae76b1), last 3 months filter (via transaction_booking_timestamp), spending filter (transaction_type), amount aggregation","","Can filter by food-related categories (Groceries, Eating out including Restaurants, Takeouts, Coffee shops), filter by last 3 months, SUM amounts. Returns total food spending combining groceries and dining."
138,How much money will I have left at the end of the month based on my current balance expected income and upcoming expenses?,indeterminate,"current balance (via balance field from most recent transaction), end-of-month projection","future income and expense prediction required","Can get current balance from most recent transaction's balance field. However, cannot reliably predict 'expected income and upcoming expenses' for rest of month without: (1) scheduled future payments data, (2) income prediction model, (3) expense prediction model. Could estimate based on historical patterns (average daily spending × remaining days), but query explicitly asks for 'expected income and upcoming expenses' which implies known future events, not predictions. Partially processable (current balance) but future projection unreliable."
139,How much have I spent on groceries this month?,processable,"groceries category (via category_id: e63f7849-c0c0-012e-440e-3d0bc2c8ea94), current month filter (via transaction_booking_timestamp), spending filter (transaction_type), amount aggregation","","Can filter by Groceries category_id, filter by current month, filter by transaction_type = 'spending', SUM amounts. Straightforward category + month aggregation."
